county,propertyType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,price
48,2,3,2.0,1288,7405,1998,409900
4,2,4,3.5,2366,871,2023,419900
34,1,5,3.0,2828,5227,2022,749900
48,2,3,2.0,1399,1307,2024,424990
48,1,3,1.0,1600,11326,1950,455000
10,1,5,2.5,1616,7841,2001,499800
52,1,3,2.0,1497,7841,2003,460000
42,0,2,3.0,1293,0,1980,1200000
42,0,2,3.0,1293,0,1980,1200000
34,1,5,2.0,2500,20909,1954,665000
2,2,2,1.5,1008,436,2020,235000
48,2,3,2.5,2122,1307,2018,485000
34,1,6,1.0,2474,10019,1979,695000
56,1,5,3.0,2160,6534,1925,450000
34,2,3,2.5,2332,1742,2024,599400
52,2,3,2.0,1315,871,2024,354990
34,0,2,2.0,1068,436,1997,334900
52,1,3,2.5,1339,4356,2005,399000
52,1,3,2.5,1339,4356,2005,399000
34,0,3,1.5,1206,436,2000,415000
34,2,4,2.5,2247,1307,2024,454990
44,2,3,2.0,2916,2178,2018,440000
34,2,3,2.5,2099,871,2020,440000
52,2,3,2.5,1570,1307,2024,354900
48,0,3,2.0,1230,1307,2012,284000
52,1,4,3.5,3887,9148,1991,775000
34,2,3,3.5,2569,2614,2020,699000
34,2,2,2.5,1360,871,2009,386000
34,1,6,3.5,4081,8276,2018,850000
48,2,2,2.0,1286,2178,2000,432000
48,2,3,2.5,2321,1307,2024,472900
48,0,3,1.0,1060,436,1993,300000
42,1,1,1.0,758,0,2000,195000
52,2,5,5.0,2615,2178,2024,955600
52,2,3,2.5,1570,1307,2024,354900
52,2,5,5.0,2615,2178,2024,955600
42,1,3,3.0,1819,1742,2006,2795000
34,0,2,1.0,938,436,1989,299000
34,1,7,5.0,6822,17860,2020,2390000
10,1,4,2.5,4096,8276,2007,724999
42,0,1,1.0,758,436,2000,195000
10,1,3,2.5,3394,7841,2018,624900
48,1,3,2.0,2468,9148,1956,585000
34,1,2,1.0,1554,4792,1922,550000
42,0,3,2.0,1055,436,1976,1200000
42,2,3,3.0,1688,3485,1994,995000
34,1,3,2.5,2928,7841,2000,620000
48,2,3,2.5,2187,871,2024,409990
52,1,4,2.5,2267,6970,2024,574990
48,1,5,2.0,3232,13068,2015,775000
48,1,6,3.5,3212,12197,2001,695000
10,1,5,3.5,3873,19166,2007,765000
34,1,5,1.0,4194,13504,1975,950000
34,2,3,1.5,3105,2178,2023,680000
48,2,3,2.5,2192,1307,2021,455000
34,1,4,1.0,1797,7841,1985,579999
10,1,3,1.0,1758,10454,1982,475000
10,1,4,1.0,1688,5663,1944,300000
10,1,3,1.5,1560,6970,2021,465000
34,1,4,2.5,3561,5227,2017,629900
34,0,2,2.0,977,436,2001,300000
34,0,2,2.0,1112,436,1964,480000
34,2,3,2.5,2912,2614,2020,550000
48,2,3,2.5,1496,1307,2009,339900
48,1,3,1.5,1235,9148,1956,400000
34,1,2,1.0,1208,6098,1911,474900
34,2,3,2.0,1265,436,2003,349900
34,1,6,3.0,2652,9583,1978,549900
34,1,3,2.0,1450,10019,1939,564000
10,1,4,1.0,3219,12632,1963,625000
34,1,4,2.0,1756,5227,1925,775000
34,1,4,1.0,1834,10019,1953,630000
44,1,3,1.0,1560,7841,1943,360000
48,1,3,2.0,2975,8276,2016,530000
34,0,3,1.5,2500,436,1975,675000
2,2,3,2.5,1650,871,2024,389900
10,1,3,2.0,1667,7841,2023,555000
4,2,3,2.5,1378,1307,1996,310000
48,1,3,1.0,1377,7405,1950,340000
52,1,3,2.0,2153,5663,2000,525000
0,1,3,2.0,1495,19602,1884,329900
48,2,2,2.0,2269,1307,2023,427900
34,1,8,2.0,12077,21780,1999,2800000
50,1,7,8.0,7905,43560,2023,2895000
50,1,5,3.5,6949,22216,2023,3150000
56,1,3,2.5,1555,3049,2023,450000
18,0,1,1.0,440,0,2023,295000
18,0,1,1.0,430,0,2023,285000
18,0,1,1.0,440,0,2023,295000
48,2,3,2.0,2293,1307,2023,473900
50,1,4,1.0,2242,12632,1980,699900
56,1,7,5.0,9400,29185,2019,3175000
40,1,5,4.0,3823,15246,2023,675000
10,1,3,2.5,3983,18731,2023,873160
52,1,2,2.5,2242,4356,2004,519000
48,2,3,2.5,2293,1307,2024,472900
10,1,4,2.0,3238,22651,1994,900000
18,1,3,2.5,1950,11326,1994,519000
56,1,4,1.0,5119,45302,2011,1799999
12,1,2,1.0,1039,109336,2004,319000
34,1,5,2.5,3379,9148,2006,750000
42,0,2,2.5,1500,1307,1985,1750000
42,0,2,2.0,1275,436,1997,630000
52,2,3,2.5,1573,1307,2022,350000
48,1,7,6.5,8036,26572,2020,3499000
52,1,1,4.0,5392,14810,2019,1340000
52,1,4,2.0,2322,13068,1992,699000
34,1,2,2.0,868,3049,1906,429000
34,1,6,3.5,5490,47916,2005,2199000
44,2,2,2.0,1993,3485,2023,474900
42,1,2,1.0,1003,3920,1912,3500000
46,1,4,2.0,2200,10890,1975,375000
34,1,4,2.0,1929,50965,1958,1200000
50,1,4,2.0,4432,47916,2017,1900000
4,1,4,2.5,1942,7841,2023,424900
34,1,5,3.0,1775,10454,1959,420000
34,1,4,1.5,2422,2614,2021,599900
34,0,2,2.5,1146,0,2022,359900
10,1,4,1.5,1746,6970,1956,355000
48,0,2,2.0,1792,0,2023,549900
34,1,3,1.0,2580,24829,1955,725000
2,1,3,1.0,2350,12197,1959,399900
44,2,3,2.0,1972,3049,2023,499900
34,1,4,3.5,2331,2178,2013,514900
48,1,3,2.0,4184,11761,2023,544900
48,1,3,2.5,3608,9148,2015,859600
34,1,3,2.0,2042,8276,1979,450000
34,0,2,1.0,1074,436,1999,306900
34,1,3,1.0,1686,3049,1922,399780
34,1,3,3.0,2343,4792,2004,489900
20,1,4,3.0,2362,11326,1997,400000
50,1,5,2.0,4067,9148,2018,2250000
34,1,5,2.5,2948,7405,1958,895000
48,0,3,2.0,1444,1307,2008,354900
34,1,4,3.0,3663,8276,2024,664990
34,0,3,2.0,1426,4356,1977,399000
52,1,4,2.5,2479,3920,2003,685000
34,1,5,3.5,6034,7841,2008,2250000
50,1,6,4.0,4775,13939,2015,1350000
46,1,5,2.5,3300,409900,2006,690000
20,1,7,3.5,4638,29621,1994,675900
34,1,4,1.0,1352,1742,1925,479000
10,1,3,2.5,1649,3049,2016,485000
56,1,2,1.0,870,6098,1948,328500
18,1,3,2.0,1737,7841,1976,509000
