county,propertyType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,price
Summit,Single Family,3.0,2.5,3578.0,130244.0,2023.0,1250000.0
Summit,Single Family,2.0,2.0,1244.0,49223.0,1980.0,675000.0
Washington,Townhouse,3.0,2.0,1358.0,1307.0,1995.0,294990.0
Utah,Single Family,6.0,3.0,3599.0,9148.0,2019.0,599999.0
Weber,Condo,2.0,1.0,968.0,nan,1973.0,200000.0
Summit,Single Family,4.0,4.0,3452.0,124582.0,2003.0,799000.0
Utah,Townhouse,3.0,2.0,1700.0,436.0,2020.0,426000.0
Cache,Single Family,4.0,1.0,1938.0,11326.0,1938.0,388000.0
Washington,Single Family,2.0,2.0,1152.0,121097.0,1972.0,375000.0
Rich,Single Family,6.0,4.0,2893.0,5227.0,2022.0,880000.0
Salt Lake,Townhouse,3.0,2.0,1272.0,nan,2024.0,378900.0
Salt Lake,Townhouse,3.0,2.0,1272.0,nan,2024.0,368900.0
Tooele,Single Family,4.0,2.5,2730.0,4792.0,2023.0,460000.0
Salt Lake,Townhouse,3.0,2.5,2105.0,1307.0,2023.0,630000.0
Washington,Townhouse,2.0,1.5,1028.0,871.0,1985.0,220000.0
Juab,Single Family,6.0,2.0,3400.0,8276.0,2002.0,449900.0
Iron,Single Family,4.0,2.0,1962.0,8276.0,1955.0,389900.0
Utah,Single Family,6.0,3.0,2816.0,165528.0,1985.0,800000.0
Salt Lake,Single Family,6.0,2.0,2488.0,14375.0,1975.0,639000.0
Salt Lake,Townhouse,2.0,1.5,1156.0,436.0,2000.0,370000.0
Washington,Single Family,4.0,3.0,2459.0,7841.0,2023.0,639900.0
Salt Lake,Single Family,2.0,1.0,935.0,5663.0,1900.0,250000.0
Iron,Townhouse,2.0,2.0,900.0,nan,1980.0,350000.0
Tooele,Single Family,3.0,1.5,3598.0,10890.0,2023.0,632386.0
Utah,Townhouse,3.0,2.5,2280.0,1307.0,2024.0,464900.0
Davis,Single Family,4.0,2.0,2381.0,12197.0,1972.0,450000.0
Washington,Townhouse,2.0,2.5,1492.0,1742.0,2024.0,457900.0
Washington,Townhouse,2.0,2.5,1492.0,1742.0,2024.0,457900.0
Washington,Single Family,5.0,2.5,2658.0,13939.0,1975.0,575000.0
Salt Lake,Single Family,6.0,3.5,5121.0,16117.0,2002.0,1249900.0
